id,s_width,s_height,s_storage_size,s_duration,c_si,c_ti,c_scene_change_ffmpeg_ratio30,c_scene_change_ffmpeg_ratio60,c_scene_change_ffmpeg_ratio90,c_scene_change_py_thresh30,c_scene_change_py_thresh50,c_colorhistogram_mean_dark,c_colorhistogram_mean_medium_dark,c_colorhistogram_mean_medium_bright,c_colorhistogram_mean_bright,c_colorhistogram_std_dev_dark,c_colorhistogram_std_dev_medium_dark,c_colorhistogram_std_dev_medium_bright,c_colorhistogram_std_dev_bright,c_colorhistogram_temporal_mean_std_dev_dark,c_colorhistogram_temporal_mean_std_dev_medium_dark,c_colorhistogram_temporal_mean_std_dev_medium_bright,c_colorhistogram_temporal_mean_std_dev_bright,t_average_bitrate,e_width,e_height,c_content_category_Border collie,c_content_category_alp,c_content_category_ballplayer,c_content_category_bannister,c_content_category_bathing cap,c_content_category_bearskin,c_content_category_bicycle-built-for-two,c_content_category_bobsled,c_content_category_breastplate,c_content_category_car mirror,c_content_category_chainlink fence,c_content_category_church,c_content_category_cloak,c_content_category_collie,c_content_category_comic book,c_content_category_convertible,c_content_category_croquet ball,c_content_category_dumbbell,c_content_category_envelope,c_content_category_football helmet,c_content_category_geyser,c_content_category_grille,c_content_category_jersey,c_content_category_lab coat,c_content_category_lakeside,c_content_category_maillot,c_content_category_mask,c_content_category_matchstick,c_content_category_maze,c_content_category_miniskirt,c_content_category_mortarboard,c_content_category_mountain bike,c_content_category_palace,c_content_category_parachute,c_content_category_pay-phone,c_content_category_prison,c_content_category_promontory,c_content_category_puck,c_content_category_racer,c_content_category_rain barrel,c_content_category_reflex camera,c_content_category_scoreboard,c_content_category_seashore,c_content_category_ski,c_content_category_ski mask,c_content_category_snowmobile,c_content_category_spider web,c_content_category_sports car,c_content_category_spotlight,c_content_category_stage,c_content_category_submarine,c_content_category_suit,c_content_category_swing,c_content_category_trench coat,c_content_category_trimaran,c_content_category_volcano,c_content_category_volleyball,c_content_category_warplane,c_content_category_web site,c_content_category_whistle,c_content_category_wig
4119,1920,1080,126277691,89,54.213,27.16,27.640449438202246,6.0674157303370775,0.6741573033707865,43.146067415730336,23.595505617977533,0.3372506263871549,0.3290663598308827,0.1748561585344708,0.15882685524749152,0.2846097905230757,0.1051850419752886,0.07612305666367883,0.1335497861717321,0.20029230033751,0.13962962847392468,0.09036804875959703,0.19634034296529226,176,960,540,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6323,1920,1080,1940504072,1397,64.697,20.929000000000002,4.294917680744453,1.0737294201861132,0.0,10.866141732283463,4.724409448818896,0.2064146599138808,0.2360216185854241,0.25282286918930513,0.3047408523113908,0.10603965645626072,0.050182227567792385,0.07810265148445189,0.5608448393328376,0.08256137976141882,0.08844786550038526,0.0927794600483876,0.13798884321048566,2050,640,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002,1920,1080,77268881,60,36.479,9.427999999999999,21.0,7.0,1.0,23.0,22.0,0.3793177163708847,0.2596861470121741,0.19886562821502052,0.16213050840192048,0.25205618159292953,0.11509003248498928,0.1050499095174314,0.20969410069456984,0.15523880506805565,0.1005847238351949,0.0911089510973731,0.2222154610814959,1057,960,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3801,1920,1080,119293873,89,39.464,21.531999999999996,20.898876404494384,2.696629213483146,0.0,20.224719101123593,6.0674157303370775,0.1901912756623665,0.3742539039019512,0.3031504618792482,0.1324043585564341,0.16778766726314515,0.19077647411431706,0.1353400968349865,0.15410411220364542,0.15072148551152795,0.18509418296841884,0.16339476373126674,0.13659989500962352,198,960,540,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8793,1920,1080,1308772356,206,25.002,11.654000000000002,11.650485436893206,1.7475728155339807,0.8737864077669903,30.0,16.893203883495143,0.8566109718975986,0.08237062663560273,0.03459882239726917,0.02156521013749051,3.719979637600239,0.03677694882562167,0.015522516761462813,0.031099689844201063,0.1603123068003223,0.07874983430175515,0.05679565931885318,0.07643559736205724,3833,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3900,1920,1080,125273818,91,36.573,19.58,19.78021978021978,5.934065934065932,1.3186813186813189,26.37362637362637,15.164835164835164,0.38862801470006336,0.3381906252826392,0.14228306030389354,0.13089829971340386,0.2983884044640095,0.15472607160702487,0.06652817364369028,0.2082160264762791,0.2730705449370343,0.17030424747583014,0.10838523950725402,0.18242060319540274,15,416,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5025,1920,1080,77268881,60,36.479,9.427999999999999,21.0,7.0,1.0,23.0,22.0,0.3793177163708847,0.2596861470121741,0.19886562821502052,0.16213050840192048,0.25205618159292953,0.11509003248498928,0.1050499095174314,0.20969410069456984,0.15523880506805565,0.1005847238351949,0.0911089510973731,0.2222154610814959,481,960,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1948,1920,1080,76274681,58,50.255,31.131,7.241379310344827,0.0,0.0,10.344827586206897,5.172413793103448,0.10655535212235703,0.2083296000292678,0.2824667577958706,0.4026482900525045,0.10997772382161923,0.0834613291938974,0.11079943287419472,0.3057701154084121,0.1293166285013186,0.09406413353814792,0.12690920408899545,0.2259927853418028,67,768,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6366,1920,1080,1940504072,1397,64.697,20.929000000000002,4.294917680744453,1.0737294201861132,0.0,10.866141732283463,4.724409448818896,0.2064146599138808,0.2360216185854241,0.25282286918930513,0.3047408523113908,0.10603965645626072,0.050182227567792385,0.07810265148445189,0.5608448393328376,0.08256137976141882,0.08844786550038526,0.0927794600483876,0.13798884321048566,218,416,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,1920,1080,552878652,69,71.054,11.530999999999999,15.652173913043477,6.956521739130435,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.13247485294775452,0.2206765801127214,0.31250233671423044,0.3343462302252938,0.1506390544227957,0.10823623410064444,0.1333541271179211,0.2495230475728334,0.09236169298511318,0.12192712338376392,0.10439240023754416,0.1801356942882321,3664,960,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7943,1920,1080,564480642,436,,,6.330275229357799,2.889908256880734,1.2385321100917432,7.155963302752294,5.917431192660551,0.33403575707540484,0.2501889713143476,0.24189100320735185,0.17388426840289578,0.8501005322604926,0.1063231899358911,0.11418031026035552,0.22492841193778296,0.2491502840962495,0.13778521515554615,0.14056186430964773,0.14379732640992338,381,960,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3493,1080,1080,118192210,89,53.42100000000001,22.525,25.61797752808989,6.0674157303370775,0.6741573033707865,37.752808988764045,24.9438202247191,0.3961800353724513,0.3466451208109205,0.16309122341928556,0.08284766534116303,0.3039930556665316,0.1541447147841569,0.10195937914808902,0.12890757231691485,0.2463837580185012,0.1641454642669478,0.15689929659504254,0.11285667356686993,543,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6093,1920,1080,1359591752,991,78.124,21.309,5.2674066599394544,1.6952573158425832,0.4238143289606458,11.564076690211909,5.2674066599394544,0.3245096094402089,0.25376857071799497,0.2431498816963265,0.17857193814546987,0.13127787538322525,0.06399800799866359,0.0925255819354854,0.3523262431997199,0.1337961619665914,0.07881378465881272,0.12894693473011565,0.11303016102259113,1655,640,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2671,1920,1080,131802192,90,38.195,28.633000000000003,12.666666666666664,0.6666666666666667,0.0,23.33333333333333,7.333333333333332,0.16044293338477375,0.21688137288523102,0.36641767582590296,0.2562580179040923,0.1271334481516519,0.09549331761771937,0.19094519722855305,0.3496878146299374,0.14252147130114445,0.14232403210568598,0.15180195945133246,0.1769319461020245,5209,1280,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10205,1920,1080,-98034068,7411,21.219,8.074,1.513965726622588,0.1943057617055728,0.016192146808797738,19.211982188638512,3.376062609634328,,,,,,,,,,,,,900,1280,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2224,1920,1080,135770532,91,57.559,30.171999999999997,42.85714285714286,9.230769230769232,0.0,52.087912087912095,42.19780219780221,0.31998712578573674,0.3526077915140416,0.20219712386379046,0.1252079588364311,0.2256090548792176,0.09284091581401524,0.07267835760653983,0.16710183595405714,0.15770309768257168,0.11071489682145542,0.10140752929264044,0.15381129999203866,961,768,432,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
