id,t_average_vmaf
8654,39.829840999999995
4380,47.47141
3460,74.647664
2576,89.969447
1989,54.706573
7683,89.819132
7177,98.928492
4703,74.73782
4008,35.582781
3657,3.27704
2628,59.123447
8201,51.010376
1410,99.49384599999999
7860,41.895137
5029,42.416028000000004
10263,98.47110500000001
3603,90.373765
8920,31.370309999999996
6815,74.614731
815,24.928556
2404,11.820807
5611,5.895987
10365,95.0999
8294,23.066781
2131,89.884619
1797,81.086555
3090,74.46713000000001
4340,28.850839
7885,32.078346
3122,83.43217299999999
5226,2.659405
9289,54.533963
122,63.801025
179,34.383865
9566,53.760509
9384,9.876076
4694,43.533984000000004
9587,83.202964
9019,75.492387
1157,5.189674
237,75.95446899999999
1532,56.532596
8876,79.691578
6555,81.60133499999999
9412,96.063942
1535,21.676239000000002
4116,6.554194
7958,22.196513
4003,96.916927
2605,86.321409
7836,82.397588
7313,27.577493
7841,90.999841
2177,1.2856049999999999
8360,43.359483000000004
2351,38.174711
3325,60.20094
6393,5.693706
3471,71.695921
8801,87.64938199999999
2134,76.6854
1480,1.291788
2793,7.372300999999999
5271,62.275248
10183,77.460317
10342,50.79067
4801,25.491398
3521,82.131968
10307,60.738893999999995
9133,89.242745
3704,79.86017
7920,73.292091
4242,74.816645
4478,96.693162
1952,94.729391
555,70.60471
10175,11.824967
1163,3.6096760000000003
1584,96.74064200000001
5602,13.860542
6397,86.844226
9793,82.569816
6067,29.558487
5472,83.642646
5448,1.910563
1459,32.852354
4451,86.670367
1598,75.2228
10076,48.041834
300,16.948186
8677,30.015441999999997
10061,81.906879
6424,64.433245
4112,35.708684999999996
7108,86.03579599999999
4746,0.15244000000000002
4950,62.426772
2858,50.320027
3596,92.980627
10239,16.123613
3142,68.59815400000001
1359,59.188691000000006
8725,25.953965
1935,7.518258
3205,94.031599
5912,29.274108000000002
486,93.404533
9363,31.893375
4514,1.7438900000000002
9988,87.617774
7739,12.292276
5047,66.297905
4682,88.363527
3337,21.641795000000002
8340,80.388063
1152,37.621621000000005
5596,28.104696999999998
10266,94.165316
4000,65.907434
8268,72.010506
5071,96.44303000000001
10121,85.998721
6437,62.84067099999999
10103,91.734237
8536,21.772322
10278,96.793982
9131,80.15129499999999
4412,48.879803
665,28.772971000000002
6747,57.987668000000006
9871,89.24340600000001
7591,0.11855299999999999
642,91.605448
9558,91.036393
176,75.605222
8471,96.221597
10318,41.243738
6324,46.777574
786,97.468489
6876,79.073815
8284,65.569592
7805,16.047714000000003
3202,87.96215500000001
6073,25.560882
5594,41.768122999999996
8334,73.244709
91,86.552548
6913,63.451451
5957,75.618188
9903,34.504284999999996
8634,80.69825
1971,72.496861
2905,92.86428199999999
530,15.003445999999999
3910,71.219092
996,49.013875
4884,74.596102
5426,90.772542
5258,86.345174
6502,62.23189
2312,52.936524
2154,75.77659399999999
6302,45.210976
7364,98.290186
1427,41.175698
4776,95.427525
9876,93.59815400000001
9594,60.768815000000004
4098,27.883284000000003
8467,99.605824
3085,73.177929
6129,48.823066
6484,68.269286
9367,50.700252
5985,38.879003000000004
5838,15.687525
495,60.367241
4033,46.100157
2321,7.514121
8705,86.903021
3661,12.21642
151,5.879725
4333,60.831174
694,4.302097
8170,89.468726
5922,8.643116000000001
1738,73.307175
3001,82.069232
167,37.758881
10369,77.71849499999999
8328,90.556088
2865,18.043359
8832,40.704771
4032,11.688756
6121,68.84626300000001
2883,3.1751419999999997
3031,8.025679
6005,1.9863169999999999
8820,68.979366
3886,8.121508
